comment;len;rate
sản phẩm ok ngoại trừ cái touch hơi không nhạy lắm thì vẫn ổn gọi cũng ổn tuy nhiên dùng tính năng gặp tư vấn viên để biết ngày purchase rồi update lên apple thì bạn tư vấn viên nói chờ nhân viên kỹ thuật contact lại nhân viên kỹ thuật contact lại thì bảo thấy airpods chưa được kích hoạt bảo hành nói mình gọi thẳng lên apple xong đưa hóa đơn để được kích hoạt bảo hành mình nói chưa nhận được hóa đơn nào cả thì bạn đó nữa đã gửi hóa đơn rồi mình kiểm tra lại vẫn chưa có nên nói bạn đó check lại rồi gửi lại cho mình sau đó mình contact gặp tư vấn viên thì còn không connect được với ai;130;2
mình mua về được 1 hôm dùng bình thường hôm sau ngồi xem kĩ lại mới thấy cái bản lề của case có vấn đề đóng vào lắp đậy case cảm giác bị lỏng lỏng do bản lề có tiếng kêu kẹt kẹt khi chạm vào lắp case không biết trường hợp này thì có có vấn đề gì không và có được bảo hành không hay đây là lỗi chung cho tất cả sản phẩm mong nhận được sự support phía tiki;83;2
trước nay mình rất ít khi mua hàng điện tử qua sàn vì rất ngại vấn đề bảo hành lần này đắn đo mãi mới mua thì bị không hài lòng luôn tai nghe mình nhận được không chỉ bị phần ngoại hình mà còn bị lỗi cả phần mềm nữa đã liên hệ và phản ánh lỗi kèm theo hình ảnh và clip cũng đã được tiếp nhận nhưng mong tiki lấy hàng sớm và kiểm tra giúp mình đang háo hức mua dùng cả tikinow để nhận hàng ngay xong rồi 3 4 ngày nay cái airpod nằm yên trong hộp để chờ bảo hành ngoài ra đã chọn hàng chính hãng thay vì hàng nhập khẩu rồi mà vẫn không hài lòng cái cảm giác chờ đợi bảo hành đến nản thực sự;137;2
đánh giá 2 sao vì chính sách tiki now giao hàng không đúng như cam kết rất nhiều lần;18;2
đã nhận hàng nhưng làm sao phân biệt được hàng thật fake đề nghị liên hệ hỗ trợ tôi;19;2
tai nghe rat hay bị mất kết nối mong tiki xem và phản hồi dùm mình;16;2
gửi mail cho tiki nhưng không nhận được phản hồi để kích hoạt bảo hành;15;2
mua lâu rồi 1 năm đã trôi qua giờ sản phẩm bi hỏng bên tay phải :(;17;2
mình đặt hai bộ nhưng một bộ giao không đầy đủ chỉ nhận có 1 miếng giẻ lau thiếu hai miếng giẻ lau nhờ bên mình xem lại giúp ạ;30;3
sản phẩm ok tuy nhiên tiki giao hàng thiếu quà tặng đã phản ảnh với shop thì shop nói là do tiki đóng gói kêu liên hệ với tiki phản ánh với tiki thì cả tuần rồi chưa thấy kết quả gì chỉ biết đợi không biết tiki với shop làm việc với nhau kiểu gì;56;3
bộ sản phầm nhìn chắc nhưng đầu cây lâu không cố định được nên nó không đẩy theo ý mình muốn theo chiều hình chữ nhật có thể bên công ty gọi lại cho mình chỉ cách sử dụng được không chứ hiện tại nước 2 bên hộc tràn chung với nhau không tách được nước dơ và nước sạch thanks;60;3
sản phẩm dùng tốt shop gửi hàng nhanh tuy nhiên về phía tiki và đơn vị vận chuyển giao hàng lâu giải quyết chậm dù yêu cầu nhiều lần trong nhiều ngày;32;3
giao 2 thùng nhưng đã bị vỡ 1 thùng rồi tiki ơi nhờ bên tiki hỗ trợ đổi hàng nhé sản phẩm sử dụng ok lắm nên đã đặt mua thêm nhưng nay giao hàng bị lỗi ạ;38;3
mua 3 hư 1 vì khớp nối không có ren để lắp 2 còn lại ok dù giao chậm gần 1 tháng;22;3
1 không có lỗ thoát nước ở đáy cho dễ xả nước bẩn 2 phần vắt khô nước bẩn lại bị vắt sang phần nước sach 3 cây lau không xoay 360 độ được;34;3
hơi tệ khi không có nút tháo nước cạnh thùng và chổi chỉ quay được 1 chiều nhất định còn đâu mọi thứ khá ổn thấm hút tốt;28;3
giẻ lau không thấm lắm khá là khó để vắt giặt ưu điểm là thùng nhỏ gọn còn lại là không ok;22;3
hàng cũng được tuy nhiên khi bị bẩn bám vào phía dưới thùng không mở ra được để vệ sinh thùng nên có bánh xe để tiện hơn trong việc di chuyển;32;3
bình thường vì khi các bạn bé dùng hơi khó vắt khi cho vào chiều xoay của cây lau không xoay như quảng cáo;24;3
hàng chính hãng thùng chắc chắn cây lâu sau vật không được khô như quảng cáo tấm lau là miếng dán vào cây dễ bung ra;26;3
không được tiện dụng lắm giẻ không vắt được khô nước nên lau nhà vệt ướt;16;3
lau sạch nhưng đẩy khó đi mất sức không phù hợp với nhà lát gạch men;16;3
sản phẩm dùng được khi vắt không xoay được 2 chiều nên 1 đầu trên vẫn chưa được sạch;19;3
xài tạm được thiết kế nên có các van xả đáy và thêm 1 ngăn xả;16;3
chưa dùng nên chưa biết ra sao nhưng kiểm tra mã vạch trên icheck thì không có không biết đây có phải hàng lậu không vì vậy đánh giá 3 sao thui;32;3
shop gói như vậy may mà không bị đổ check mã vạch thì ra kết quả như vậy mình muốn nhận giải thích về chất lượng;28;3
xin chúc mừng shop đã bị mất điểm shop bọc hàng khá tệ không biết có phải sách second hand không mà vô tay mình thấy khá bụi không có được bọc như mới không còn nguyên zin hi vọng đọc vào sẽ có ấn tượng tốt nói chung đã mất niềm tin với shop hi vọng tiki duyệt và không sửa đổi bất kì thông tin nào của khách hàng;71;3
sách rất hay tuy nhiên hơi thất vọng chút sách không được đóng gói cẩn thận bỏ hộp quá to so với kích thước sách làm sách bị va chạm nhăn phần trên khi vận chuyển;36;3
haiz từ thôi là chán nội dung thì không bàn nhưng về hình thức vì thì không có bulong bọc ngoài ướt hết sách haiz tôi sẽ trở lại vào một ngày tiki phát triển hơn;37;3
giao hàng rất nhanh nhưng có điều là sách không được bọc kĩ với lại mình thấy sách rất cũ luôn :(;22;3
đóng gói sách không kĩ trong quá trình vận chuyển sách bị méo ở các góc và cạnh của sách;20;3
sách binh thường mọi người có thể xem de tham khảo những kiến thức bản thân mình không thích lắm;20;3
nội dung ghi tặng kèm bookmark nhưng mình tìm hoài không thấy bookmark đâu cả;15;3
cũng như bao quyển selfhelp khác :) nhưng lức bế tắc đọc như có 1 người tâm sự cùng cũng tốt :);23;3
3 sao cho dịch vụ khách hàng của tiki lúc đặt đơn mình đã gửi thông tin xuất hoá đơn cho tiki nhưng mấy tháng giờ vẫn chưa nhận được hoá đơn và cũng không có ai liên lạc gì về việc này 5 sao cho tai nghe chính hãng đã check code chuẩn;53;3
tai nghe chính hãng apple chất lượng tốt tiki đóng gói khá cẩn thận nhưng cho 3 sao thì giao hàng chậm phải gọi lên tổng đài gọi giục mới nhận được hàng;33;3
nắp case bị lỏng seal thì dán của tiki cảm giác như sản phẩm đổi trả nên tiki đóng mới lại rồi giảm giá vậy :(;26;3
tôi đã nhận được 2 sim thời hạn sử dụng 1 năm nhưng tôi không thể kiểm tra được ngày kích hoạt tôi đã trả theo cú pháp được trả lời là không trả cứu được vậy thì làm sao biết được 2 sim ;67;3
mình tra cứu thì nhận được thông tin sau:luu luong con lai cua quy khach la : 5038 mb thì như thế nào chưa rõ nên tạm đánh giá 3 sao;64;3
sao mình không nhận được thẻ bảo hành gì nhỉ gọi tổng đài hỏi ngày kích hoạt tổng đài bảo sim này đã kích hoạt cần 1 lời rõ ràng mạng khá mạng nhưng không biết lúc chạy tóc độ bình thường ra sao nên mình tạm cho 3 sao;61;3
đặt mua và nhận hàng mất hơn 1 tháng sử dụng rồi chưa tốt lắm;36;3
mới mua đã có vấn đề không cài được sau đó thì không có mạng mất gần 4 5 ngày không thể online rồi khi vào được thì rất chạp chờn dù không hề coi phim hay chơi game chỉ lướt fb mà kết nối cứ như nấc cụt;49;3
hi shop mình nhận sim hôm thứ 4 này hôm nay lắp vô xài mọi thứ ok tuy nhiên theo thông tin trên tiki bán hàng thì sim này thì dung lượng 4gb mỗi tháng tuy nhiên mình chỉ thấy báo trên điện thoại 2gb;46;3
đã nhận hàng đúng như mô tả sử dụng tốt giao hàng chậm so với cam kết đặt hàng thứ 6 và trả phí để sử dụng dịch vụ giao hàng nhanh nhưng chiều thứ 2 mới nhận được hàng hệ thống báo là giao hàng thứ 7 nhưng thứ 2 mới giao;53;3
tốc độ mạng ở mức trên trung bình có thể xem youtube và lướt facebook ok tuy nhiên hết dung lượng cao thì tốc độ truy cập mạng thấp yếu;30;3
mình nhận sim thì chỉ dùng được 2 tháng hả shop;22;3
bạn ơi cho hỏi sao sim mua vừa rồi giờ không còn sử dụng được;19;3
mua sim dùng 12 tháng mà kích hoạt trước 3 tháng rồi tự dưng mất 3 tháng dung lượng;19;3
mình mua sim 3 tháng đã yêu cầu gia hạn mới là sao trong khi sim ghi dùng 1 năm;24;3
tiền nào của đó mới mua về thổi cho con được 10 phút là bị xì hết hai trái;19;3
sản phẩm không như kì vọng hàng được giao được đóng gói cẩn thận giao đúng hạn nhân viên giao hàng nhiệt tình thân thiện tuy nhiên sản phẩm trong hộp bẩn chất lượng rất bình thường không có dấu hiệu nào của cao cấp;45;3
hàng chính hãng apple phân phối đập hộp nguyên seal phù hợp với các tác vụ văn phòng cơ bản nhỏ gọn nếu ai cần tablet màn hình to thì không nên mua nhé;38;3
mua tiki trading hàng apple nhiều rồi nên không lo gì về xuất xứ chính hãng các thứ review trực tiếp về em nó thì nhẹ chip a15 mạnh mẽ dư sức chiến game max cấu hình mượt nhỏ nhỏ dễ thương tiện mang đi ra ngoài du lịch mặc dù mình vẫn thích kiểu mini hơn nữa cho tiện chơi game loa to rõ nói chung thì tiền nào của nấy giá trên chời là điểm yếu duy nhất của em nó là giá mà thôi :(;88;3
mua đợt đang khan hàng nhưng vẫn chớp được giá tốt hàng chính hãng giao cực nhanh chỉ sau 1 đêm đóng gói cẩn thận đẹp đẽ chu đáo;29;3
máy đẹp cảm ứng mượt nhanh cầm chắc tay mình không để ý khối lượng nhưng cầm cảm giác nhẹ hơn mini 4 và 5;24;3
giao hàng nhanh đóng gỏi kỹ hàng apple thì khỏi bàn rồi dòng ipad mini 5 này chất liệu nhìn đẹp và nhẹ hơn mấy dòng trước màu tím nhìn hơi tối nhưng lạ;34;3
giao hàng nhanh máy nhẹ lắm màu này cũng rất đẹp hoàn toàn yên tâm hàng tiki trading;18;3
sau 5 ngày mua hàng tôi vẫn chưa nhận được hóa đơn điện tử trong portal quản lý đơn hàng cũng không thấy cập nhật hóa đơn điện tử như thông tin từ tổng đài viên của tiki đã hỗ trợ;41;3
giao hàng nhanh đóng gói kỹ càng khi pha nước sôi nước bị đặc sệt và ít mùi đậu nếu pha nước nguội sẽ tốt hơn;27;3
xài tạm được sản phẩm giá thấp sẽ đi đôi với không chất lượng shop giao nhanh;17;3
vải tốt nhưng dây thun không được tốt tháo khẩu trang ra 2 lần là dây thun bị dản liền;20;3
khẩu trang y tế 4 lớp này hơi mỏng mình dùng cảm thấy tạm được;15;3
thiết kế ôm kín mặt ít thoát hơi nên khi đeo hít thở nhanh nóng mặt;16;3
giao hàng nhanh đóng gói cẩn thận nhưng đặt số 40 giao giày số 39 da gót màu đen không như mẫu;24;3
việt nam mà giày về size to quá đi không được có thể đổi size nhỏ hơn cho mình không ạ :(;34;3
sản phẩm được đóng gói rất tệ giao hàng lần này chậm trễ hơn 2 ngày so với ngày dự kiến đóng gói sơ sài không có bọc chống sốc hay gì cả 😔 rất thất vọng 🤦;38;3
cuốn này kiểu tản văn toàn nói về tình cảm và chia tay mang màu sắc buồn buồn từ đầu tới cuối nhiều bài động viên người con gái thất tình thì nên như thế nào nói chung mình thấy cuốn này một màu và văn phong cũng không có gì đặc sắc đọc sách mà không thấy vui nên cho 3 sao thôi;64;3
lần đầu mua sách ở tiki 😀 có lẽ không phải do bên vận chuyển mà là bên shop cung cấp cho mình sách bị rách thế này 🥲 dù không ảnh hưởng nhiều nhưng mà nhìn ngứa mắt lắm ạ vì cả ai nhận đồ mới về tay cũng mong nó nguyên vẹn đó ah 🌝 làm ăn cẩn thận hơn giùm 🥴;63;3
sách giao đến mình bị cong ở góc mất đường cắt của bookcare cũng rất ẩu mong tiki kiểm tra lại dịch vụ để tốt hơn;26;3
mua 2 cuốn sách có dính dơ chút xíu hộp sách bị móp méo nhân viên giao hàng không đồng ý cho kiểm hàng dù mình chỉ muốn kiểm tra số lượng nói công ty không cho kiểm mình nói lắm mới cho kiểm số lượng hy vong tiki xem lại nguồn hàng;52;3
giao hàng nhanh hơn dự kiến nhưng sách lại bị rách bìa đây là lần đầu mình bị như vậy 😑;21;3
giao hàng nhanh sách hình thức đẹp nhưng nội dung sách không ấn tượng gì cả cuốn sách có quá nhiều điều trùng lặp và mang nặng chuyện đổ vỡ trong quá khứ thật sự nội dung rất thiếu chiều sâu;41;3
tập trung vào vấn đề tình cảm yêu đương nói chung hơi bị trệt gu mình xíu nhưng bìa khá dễ thương;24;3
sách có lẽ hợp với các bạn thất tình hơn thì phải mình đọc được nửa quyển sách thì thấy bạn tác giả đề cập về chuyện này nên chưa có hứng thú đọc tiếp nữa;36;3
sách bị dơ mong lần sau những sách màu trắng hoặc sáng màu nhà sách sẽ bọc nilong 😢;19;3
để trau dồi thêm vố từ thì ổn còn nội dung sách thì không được sâu theo qua điểm cá nhân của mình;23;3
mặc dù được bao ở ngoài nhưng sản phẩm bị quăn góc nhìn mất thẩm mỹ;16;3
không tốt như kỳ vọng giá cũng khá đắt mình thấy tặng 2 bàn chải sạch sâu không chấp nhận nổi bao giờ có 30 ngày mọi người cân nhắc trước khi mua nhé bàn chải đánh khá yếu so với mình và mình thấy không được vệ sinh cho lắm quà thì chưa thấy chỉ thấy bàn chải thôi do phải tách đơn ra mọi người không bị lỗi gì chứ cầm thấy to mà đánh yếu quá đi;77;3
trong hướng dẫn sử dụng là 1 đầu lông chải sạch sâu và 1 đầu lông chải trắng răng tự nhiên tuy nhiên hàng thực tế là 2 đầu lông chải sạch sâu;30;3
chấp nhận được bình giữ nhiệt tặng kèm được bên bán hàng định giá quá cao so với chất lượng đem lại cảm giác cố tình lừa dối 2 đầu bàn chải kèm theo chỉ có 1 loại thiếu cái xoắn như mô tả sản phầm kèm theo không thật sự hài lòng;54;3
tuyệt xài tốt nhưng không thấy chỗ nào bán đầu bàn chải của ps liệu có thể mua của hãng khác giải đáp thắc mắc mình sẽ đánh giá sao lại;31;3
ưu diem : bàn chải nhiều chế độ có kèm đầu bàn chải thay thế đóng gói đẹp điểm trừ : đầu bàn chải cứng chế độ có mức rung cố định không điều chỉnh như mong muốn;36;3
mua hàng lúc chạy khuyến mãi thấy để khuyến mại bình giữ nhiệt khi giao hàng không thấy đâu sau đó cập nhật lại hình ảnh mất tiêu khuyến mại luôn;31;3
bàn chải dùng tốt tuy nhiên giao hàng rất chậm quá thời gian dự kiến 3 ngày mà không báo gì gửi hỗ trợ nhưng không thấy phản hồi;29;3
sản phẩm như hình tuy nhiên ghi trên shop là có quà khuyễn mại nhưng thực tế khi giao hàng thì không có;23;3
